sentence,label,idx,__source_split
hide new secretions from the parental units ,0,0,train
"contains no wit , only labored gags ",0,1,train
that loves its characters and communicates something rather beautiful about human nature ,1,2,train
remains utterly satisfied to remain the same throughout ,0,3,train
on the worst revenge-of-the-nerds clichés the filmmakers could dredge up ,0,4,train
that 's far too tragic to merit such superficial treatment ,0,5,train
"demonstrates that the director of such hollywood blockbusters as patriot games can still turn out a small , personal film with an emotional wallop . ",1,6,train
of saucy ,1,7,train
a depressed fifteen-year-old 's suicidal poetry ,0,8,train
are more deeply thought through than in most ` right-thinking ' films ,1,9,train
goes to absurd lengths ,0,10,train
for those moviegoers who complain that ` they do n't make movies like they used to anymore ,0,11,train
"the part where nothing 's happening , ",0,12,train
saw how bad this movie was ,0,13,train
lend some dignity to a dumb story ,0,14,train
the greatest musicians ,1,15,train
cold movie ,0,16,train
with his usual intelligence and subtlety ,1,17,train
redundant concept ,0,18,train
"swimming is above all about a young woman 's face , and by casting an actress whose face projects that woman 's doubts and yearnings , it succeeds . ",1,19,train
equals the original and in some ways even betters it ,1,20,train
"if anything , see it for karen black , who camps up a storm as a fringe feminist conspiracy theorist named dirty dick . ",1,21,train
a smile on your face ,1,22,train
"comes from the brave , uninhibited performances ",1,23,train
excruciatingly unfunny and pitifully unromantic ,0,24,train
enriched by an imaginatively mixed cast of antic spirits ,1,25,train
"which half of dragonfly is worse : the part where nothing 's happening , or the part where something 's happening ",0,26,train
in world cinema ,1,27,train
very good viewing alternative ,1,28,train
"the plot is nothing but boilerplate clichés from start to finish , ",0,29,train
the action is stilted ,0,30,train
on all cylinders ,1,31,train
"will find little of interest in this film , which is often preachy and poorly acted ",0,32,train
by far the worst movie of the year ,0,33,train
"sit through , ",0,34,train
more than another `` best man '' clone by weaving a theme throughout this funny film ,1,35,train
it 's about issues most adults have to face in marriage and i think that 's what i liked about it -- the real issues tucked between the silly and crude storyline ,1,36,train
heroes ,1,37,train
oblivious to the existence of this film ,0,38,train
sharply ,1,39,train
"the entire point of a shaggy dog story , of course , is that it goes nowhere , and this is classic nowheresville in every sense . ",0,40,train
sometimes dry ,0,41,train
"as they come , already having been recycled more times than i 'd care to count ",0,42,train
"covers this territory with wit and originality , suggesting that with his fourth feature ",1,43,train
a $ 40 million version of a game ,0,44,train
gorgeous and deceptively minimalist ,1,45,train
cross swords with the best of them and ,1,46,train
as a fringe feminist conspiracy theorist ,0,47,train
"proves once again he has n't lost his touch , bringing off a superb performance in an admittedly middling film . ",1,48,train
disappointments ,0,49,train
the horrors ,0,50,train
a muddle splashed with bloody beauty as vivid as any scorsese has ever given us . ,1,51,train
many pointless ,0,52,train
a beautifully ,1,53,train
"contrived , well-worn situations ",0,54,train
a doa ,0,55,train
poor ben bratt could n't find stardom if mapquest emailed him point-to-point driving directions . ,0,56,train
to be as subtle and touching as the son 's room ,1,57,train
starts with a legend ,1,58,train
far less sophisticated and ,0,59,train
rich veins of funny stuff in this movie ,1,60,train
no apparent joy ,0,61,train
shot on ugly digital video ,0,62,train
... a sour little movie at its core ; an exploration of the emptiness that underlay the relentless gaiety of the 1920 's ... the film 's ending has a `` what was it all for ? '' ,0,63,train
"though ford and neeson capably hold our interest , but its just not a thrilling movie ",0,64,train
is pretty damned funny . ,1,65,train
we never feel anything for these characters ,0,66,train
's a lousy one at that ,0,67,train
the corporate circus that is the recording industry in the current climate of mergers and downsizing ,0,68,train
"the storylines are woven together skilfully , the magnificent swooping aerial shots are breathtaking , and the overall experience is awesome . ",1,69,train
of the most highly-praised disappointments i ,0,70,train
"sounds like a cruel deception carried out by men of marginal intelligence , with reactionary ideas about women and a total lack of empathy . ",0,71,train
seem fresh ,1,72,train
to the dustbin of history ,0,73,train
"as a director , eastwood is off his game ",0,74,train
pays earnest homage to turntablists ,1,75,train
weak and ,0,76,train
"skip this dreck , ",0,77,train
contains very few laughs and even less surprises ,0,78,train
film to affirm love 's power to help people endure almost unimaginable horror ,1,79,train
are an absolute joy ,1,80,train
generates ,1,81,train
", like life , is n't much fun without the highs and lows ",1,82,train
based on a true and historically significant story ,1,83,train
well-rounded tribute ,1,84,train
", though many of the actors throw off a spark or two when they first appear , they ca n't generate enough heat in this cold vacuum of a comedy to start a reaction . ",0,85,train
so much like a young robert deniro ,1,86,train
"khouri manages , with terrific flair , to keep the extremes of screwball farce and blood-curdling family intensity on one continuum . ",1,87,train
fashioning an engrossing entertainment out ,1,88,train
spiffy animated feature ,1,89,train
that 's so sloppily written and cast that you can not believe anyone more central to the creation of bugsy than the caterer ,0,90,train
"alternating between facetious comic parody and pulp melodrama , this smart-aleck movie ... tosses around some intriguing questions about the difference between human and android life ",1,91,train
strung-together moments ,0,92,train
", generous and subversive artworks ",1,93,train
"it does n't follow the stale , standard , connect-the-dots storyline which has become commonplace in movies that explore the seamy underbelly of the criminal world ",1,94,train
funny yet ,1,95,train
overbearing and over-the-top ,0,96,train
it 's robert duvall ! ,1,97,train
rich and sudden wisdom ,1,98,train
"acted and directed , it 's clear that washington most certainly has a new career ahead of him ",1,99,train
in memory ,1,100,train
respectable new one ,1,101,train
yet this grating showcase ,0,102,train
hate to tear your eyes away from the images long enough to read the subtitles ,1,103,train
addition to sporting one of the worst titles in recent cinematic history ,0,104,train
", this gender-bending comedy is generally quite funny . ",1,105,train
"build some robots , haul 'em to the theater with you for the late show , and put on your own mystery science theatre 3000 tribute to what is almost certainly going to go down as the worst -- and only -- killer website movie of this or any other year ",0,106,train
do n't work in concert ,0,107,train
"the direction has a fluid , no-nonsense authority , and the performances by harris , phifer and cam ` ron seal the deal . ",1,108,train
would have liked it more if it had just gone that one step further ,1,109,train
"it 's too harsh to work as a piece of storytelling , ",0,110,train
hawaiian shirt ,1,111,train
"takes a classic story , casts attractive and talented actors and uses a magnificent landscape to create a feature film that is wickedly fun to watch . ",1,112,train
provide its keenest pleasures ,1,113,train
altogether too slight to be called any kind of masterpiece ,0,114,train
grievous but ,0,115,train
"after you laugh once ( maybe twice ) , you will have completely forgotten the movie by the time you get back to your car in the parking lot . ",0,116,train
hopeless ,0,117,train
"unpretentious , charming , quirky , original ",1,118,train
nicks and steinberg match their own creations for pure venality -- that 's giving it the old college try . ,0,119,train
very well-written and very well-acted . ,1,120,train
are n't many conclusive answers in the film ,0,121,train
"clumsy dialogue , heavy-handed phoney-feeling sentiment , ",0,122,train
"proves a lovely trifle that , unfortunately , is a little too in love with its own cuteness . ",0,123,train
bring tissues . ,1,124,train
the film 's mid-to-low budget is betrayed by the surprisingly shoddy makeup work . ,0,125,train
brings the proper conviction to his role as ( jason bourne ) . ,1,126,train
"as a young woman of great charm , generosity and diplomacy ",1,127,train
there 's something poignant about an artist of 90-plus years taking the effort to share his impressions of life and loss and time and art with us . ,1,128,train
just too silly ,0,129,train
cinematic bon bons ,1,130,train
it is supremely unfunny and unentertaining to watch middle-age and ,0,131,train
a lively and engaging examination of how similar obsessions can dominate a family . ,1,132,train
irritates and ,0,133,train
collapse ,0,134,train
so many of the challenges it poses for itself that one can forgive the film its flaws ,1,135,train
