clean_text,label,sentiment_score
hide new secretions from the parental units,[0],-0.1779
"contains no wit , only labored gags",[0],-0.296
that loves its characters and communicates something rather beautiful about human nature,[1],0.8225
remains utterly satisfied to remain the same throughout,[0],0.4754
on the worst revenge-of-the-nerds clichés the filmmakers could dredge up,[0],-0.6249
that 's far too tragic to merit such superficial treatment,[0],-0.0516
"demonstrates that the director of such hollywood blockbusters as patriot games can still turn out a small , personal film with an emotional wallop .",[1],0.1531
of saucy,[1],0.0
a depressed fifteen-year-old 's suicidal poetry,[0],-0.8316
are more deeply thought through than in most ` right-thinking ' films,[1],0.0
goes to absurd lengths,[0],0.0
for those moviegoers who complain that ` they do n't make movies like they used to anymore,[0],-0.5588
"the part where nothing 's happening ,",[0],0.0
saw how bad this movie was,[0],-0.5423
lend some dignity to a dumb story,[0],-0.1531
the greatest musicians,[1],0.6369
cold movie,[0],0.0
with his usual intelligence and subtlety,[1],0.4767
redundant concept,[0],0.0
"swimming is above all about a young woman 's face , and by casting an actress whose face projects that woman 's doubts and yearnings , it succeeds .",[1],0.25
equals the original and in some ways even betters it,[1],0.3182
"if anything , see it for karen black , who camps up a storm as a fringe feminist conspiracy theorist named dirty dick .",[1],-0.8625
a smile on your face,[1],0.3612
"comes from the brave , uninhibited performances",[1],0.5267
excruciatingly unfunny and pitifully unromantic,[0],-0.7269
enriched by an imaginatively mixed cast of antic spirits,[1],0.0
"which half of dragonfly is worse : the part where nothing 's happening , or the part where something 's happening",[0],-0.4767
in world cinema,[1],0.0
very good viewing alternative,[1],0.4927
"the plot is nothing but boilerplate clichés from start to finish ,",[0],0.0
the action is stilted,[0],0.0
on all cylinders,[1],0.0
"will find little of interest in this film , which is often preachy and poorly acted",[0],0.4062
by far the worst movie of the year,[0],-0.6249
"sit through ,",[0],0.0
more than another `` best man '' clone by weaving a theme throughout this funny film,[1],0.8213
it 's about issues most adults have to face in marriage and i think that 's what i liked about it -- the real issues tucked between the silly and crude storyline,[1],-0.2023
heroes,[1],0.5106
oblivious to the existence of this film,[0],0.0
sharply,[1],0.0
"the entire point of a shaggy dog story , of course , is that it goes nowhere , and this is classic nowheresville in every sense .",[0],0.0
sometimes dry,[0],0.0
"as they come , already having been recycled more times than i 'd care to count",[0],0.4939
"covers this territory with wit and originality , suggesting that with his fourth feature",[1],0.0
a $ 40 million version of a game,[0],0.0
gorgeous and deceptively minimalist,[1],0.6124
cross swords with the best of them and,[1],0.6369
as a fringe feminist conspiracy theorist,[0],-0.5267
"proves once again he has n't lost his touch , bringing off a superb performance in an admittedly middling film .",[1],0.7237
disappointments,[0],-0.4588
the horrors,[0],-0.5719
a muddle splashed with bloody beauty as vivid as any scorsese has ever given us .,[1],0.2263
many pointless,[0],0.0
a beautifully,[1],0.5719
"contrived , well-worn situations",[0],0.0
a doa,[0],-0.5106
poor ben bratt could n't find stardom if mapquest emailed him point-to-point driving directions .,[0],-0.4767
to be as subtle and touching as the son 's room,[1],0.0
starts with a legend,[1],0.0
far less sophisticated and,[0],0.5118
rich veins of funny stuff in this movie,[1],0.7579
no apparent joy,[0],-0.6454
shot on ugly digital video,[0],-0.5106
... a sour little movie at its core ; an exploration of the emptiness that underlay the relentless gaiety of the 1920 's ... the film 's ending has a `` what was it all for ? '',[0],-0.2023
"though ford and neeson capably hold our interest , but its just not a thrilling movie",[0],-0.325
is pretty damned funny .,[1],0.5423
we never feel anything for these characters,[0],0.0
's a lousy one at that,[0],-0.5423
the corporate circus that is the recording industry in the current climate of mergers and downsizing,[0],0.0
"the storylines are woven together skilfully , the magnificent swooping aerial shots are breathtaking , and the overall experience is awesome .",[1],0.9001
of the most highly-praised disappointments i,[0],-0.507
"sounds like a cruel deception carried out by men of marginal intelligence , with reactionary ideas about women and a total lack of empathy .",[0],-0.6106
seem fresh,[1],0.3182
to the dustbin of history,[0],0.0
"as a director , eastwood is off his game",[0],0.0
pays earnest homage to turntablists,[1],0.5106
weak and,[0],-0.4404
"skip this dreck ,",[0],0.0
contains very few laughs and even less surprises,[0],0.6231
film to affirm love 's power to help people endure almost unimaginable horror,[1],0.539
are an absolute joy,[1],0.5859
generates,[1],0.0
", like life , is n't much fun without the highs and lows",[1],-0.2505
based on a true and historically significant story,[1],0.5574
well-rounded tribute,[1],0.0
", though many of the actors throw off a spark or two when they first appear , they ca n't generate enough heat in this cold vacuum of a comedy to start a reaction .",[0],0.5267
so much like a young robert deniro,[1],0.4173
"khouri manages , with terrific flair , to keep the extremes of screwball farce and blood-curdling family intensity on one continuum .",[1],0.0516
fashioning an engrossing entertainment out,[1],0.4215
spiffy animated feature,[1],0.0
that 's so sloppily written and cast that you can not believe anyone more central to the creation of bugsy than the caterer,[0],0.2732
"alternating between facetious comic parody and pulp melodrama , this smart-aleck movie ... tosses around some intriguing questions about the difference between human and android life",[1],0.0
strung-together moments,[0],0.0
", generous and subversive artworks",[1],0.34
"it does n't follow the stale , standard , connect-the-dots storyline which has become commonplace in movies that explore the seamy underbelly of the criminal world",[1],-0.5267
funny yet,[1],0.4404
overbearing and over-the-top,[0],0.0
it 's robert duvall !,[1],0.0
rich and sudden wisdom,[1],0.7906
"acted and directed , it 's clear that washington most certainly has a new career ahead of him",[1],0.6478
in memory,[1],0.0
respectable new one,[1],0.4404
yet this grating showcase,[0],-0.1027
hate to tear your eyes away from the images long enough to read the subtitles,[1],-0.5719
addition to sporting one of the worst titles in recent cinematic history,[0],-0.6249
", this gender-bending comedy is generally quite funny .",[1],0.6901
"build some robots , haul 'em to the theater with you for the late show , and put on your own mystery science theatre 3000 tribute to what is almost certainly going to go down as the worst -- and only -- killer website movie of this or any other year",[0],-0.807
do n't work in concert,[0],0.0
"the direction has a fluid , no-nonsense authority , and the performances by harris , phifer and cam ` ron seal the deal .",[1],0.0772
would have liked it more if it had just gone that one step further,[1],0.4215
"it 's too harsh to work as a piece of storytelling ,",[0],-0.4404
hawaiian shirt,[1],0.0
"takes a classic story , casts attractive and talented actors and uses a magnificent landscape to create a feature film that is wickedly fun to watch .",[1],0.9081
provide its keenest pleasures,[1],0.7003
altogether too slight to be called any kind of masterpiece,[0],0.5868
grievous but,[0],-0.25
"after you laugh once ( maybe twice ) , you will have completely forgotten the movie by the time you get back to your car in the parking lot .",[0],0.3415
hopeless,[0],-0.4588
"unpretentious , charming , quirky , original",[1],0.7269
nicks and steinberg match their own creations for pure venality -- that 's giving it the old college try .,[0],0.6124
very well-written and very well-acted .,[1],0.0
are n't many conclusive answers in the film,[0],0.0
"clumsy dialogue , heavy-handed phoney-feeling sentiment ,",[0],0.0
"proves a lovely trifle that , unfortunately , is a little too in love with its own cuteness .",[0],0.8637
bring tissues .,[1],0.0
the film 's mid-to-low budget is betrayed by the surprisingly shoddy makeup work .,[0],-0.4215
brings the proper conviction to his role as ( jason bourne ) .,[1],0.0
"as a young woman of great charm , generosity and diplomacy",[1],0.8779
there 's something poignant about an artist of 90-plus years taking the effort to share his impressions of life and loss and time and art with us .,[1],0.2023
just too silly,[0],0.0258
cinematic bon bons,[1],0.0
it is supremely unfunny and unentertaining to watch middle-age and,[0],0.5719
a lively and engaging examination of how similar obsessions can dominate a family .,[1],0.4404
irritates and,[0],-0.4019
collapse,[0],-0.4939
so many of the challenges it poses for itself that one can forgive the film its flaws,[1],0.34
", it serves as a workable primer for the region 's recent history , and would make a terrific 10th-grade learning tool .",[1],0.4767
wide-awake all the way through,[1],0.0
"( vainly , i think )",[0],0.0
is one big excuse to play one lewd scene after another .,[0],0.4019
is effective if you stick with it,[1],0.4767
that underscore the importance of family tradition and familial community,[1],0.3612
"delivers what it promises : a look at the `` wild ride '' that ensues when brash young men set out to conquer the online world with laptops , cell phones and sketchy business plans",[1],0.3818
"watching this digital-effects-heavy , supposed family-friendly comedy",[0],0.3612
absolutely and completely ridiculous and,[0],-0.469
's a very tasteful rock and roll movie .,[1],0.0
"the movie is almost completely lacking in suspense , surprise and consistent emotional conviction .",[0],0.4019
realistic portrayal,[1],0.0
"as if trying to grab a lump of play-doh , the harder that liman tries to squeeze his story",[0],0.0
well-thought stunts or,[1],0.0
reveals how important our special talents can be when put in service of of others .,[1],0.7579
no lika da,[0],-0.296
a welcome relief,[1],0.7269
the promise of digital filmmaking,[1],0.3182
just one that could easily wait for your pay per view dollar,[0],0.25
justify a theatrical simulation of the death camp of auschwitz ii-birkenau,[0],-0.5994
extraordinary faith,[1],0.4215
have i seen a film so willing to champion the fallibility of the human heart,[1],0.8542
", sometimes beautiful adaptation",[1],0.5994
about as interesting,[0],0.4019
"caruso sometimes descends into sub-tarantino cuteness ... but for the most part he makes sure the salton sea works the way a good noir should , keeping it tight and nasty .",[1],0.4678
"overlong , and bombastic",[0],0.0
derivative and hammily,[0],0.0
"most audacious , outrageous ,",[1],-0.2665
at its best moments,[1],0.6369
disney again ransacks its archives for a quick-buck sequel .,[0],0.0
"that final , beautiful scene",[1],0.5994
"some movies suck you in despite their flaws ,",[1],-0.4404
"eats , meddles , argues , laughs , kibbitzes and fights",[1],-0.2732
