clean_text,label,sentiment_score
"during the period of falling in love, each time that we met and á especially when we had not met for a long time.",[1],0.5574
when i was involved in a traffic accident.,[2],-0.4767
"when i was driving home after several days of hard work, there á was a motorist ahead of me who was driving at 50 km/hour and á refused, despite his low speeed to let me overtake.",[3],-0.1989
when i lost the person who meant the most to me.,[4],-0.3182
"the time i knocked a deer down - the sight of the animal's á injuries and helplessness. the realization that the animal was á so badly hurt that it had to be put down, and when the animal á screamed at the moment of death.",[5],-0.9514
when i did not speak the truth.,[6],-0.2411
when i caused problems for somebody because he could not keep the á appointed time and this led to various consequences.,[7],-0.4019
when i got a letter offering me the summer job that i had applied á for.,[1],0.0
when i was going home alone one night in paris and a man came up á behind me and asked me if i was not afraid to be out alone so á late at night.,[2],-0.4588
when i was talking to him at a party for the first time in a long while and a friend came and interrupted us and he left.,[3],0.5719
when my friends did not ask me to go to a new year's party á with them.,[4],0.7003
when i saw all the very drunk kids (13-14 years old) in town on á walpurgis night.,[5],-0.4005
when i could not remember what to say about a presentation task á at an accounts meeting.,[6],0.0
when my uncle and my neighbour came home under police escort.,[7],0.0
[ on days when i feel close to my partner and other friends. á when i feel at peace with myself and also experience a close á contact with people whom i regard greatly.],[1],0.765
"every time i imagine that someone i love or i could contact a á serious illness, even death.",[2],-0.4019
when i had been obviously unjustly treated and had no possibility á of elucidating this.,[3],-0.296
when i think about the short time that we live and relate it to á the periods of my life when i think that i did not use this á short time.,[4],0.0
at a gathering i found myself involuntarily sitting next to two á people who expressed opinions that i considered very low and á discriminating.,[5],-0.3384
when i realized that i was directing the feelings of discontent á with myself at my partner and this way was trying to put the blame á on him instead of sorting out my own feeliings.,[6],-0.34
i feel guilty when when i realize that i consider material things á more important than caring for my relatives. i feel very á self-centered.,[7],0.4131
after my girlfriend had taken her exam we went to her parent's á place.,[1],0.0
"when, for the first time i realized the meaning of death.",[2],-0.5994
when a car is overtaking another and i am forced to drive off the á road.,[3],-0.4588
"when i recently thought about the hard work it takes to study, and á how one wants to try something else. when i read a theoretical á book in english that i did not understand.",[4],-0.1027
when i found a bristle in the liver paste tube.,[5],0.0
"when i was tired and unmotivated, i shouted at my girlfriend and á and brought up negative sides of her character which are actually á not so important.",[6],-0.8753
when i think that i do not study enough. after the weekend i á think that i should have been able to have accomplished á something during that time.,[7],0.4404
when i pass an examination which i did not think i did well.,[1],0.2732
"when one has arranged to meet someone and that person arrives á late, in the meantime one starts thinking about all that could á have gone wrong e.g a traffic accident.",[2],-0.7351
when one is unjustly accused of something one has not done.,[3],-0.296
when one's studies seem hopelessly difficult and uninteresting.,[4],-0.6908
"when one finds out that someone you know is not at all like one á had thought, for instance friends who steal and things like that, á quite unwarranted.",[5],0.0747
"when one has been unjust, stupid towards someone else.",[6],-0.7717
when one has neglected or been unjust to a good friend.,[7],-0.1531
passing an exam i did not expect to pass.,[1],0.0
when i climbed up a tree to pick apples. the angle of the ladder á i was on did not enable me to get high enough. this implied á that the ladder was not very stable.,[2],-0.2743
friends who torture animals.,[3],-0.2023
[ same as in anger.],[4],-0.5719
friends who torture animals.,[5],-0.2023
[ same as above - friends who torture animals.],[6],-0.2023
[ when excuses are necessary and i get out of doing it myself.],[7],0.0
when i had my children.,[1],0.0
when my 2 year old son climbed up and sat on the 7th floor á balcony with his legs hanging out. he was holding on tightly to á the upper railing of the balcony but he could have easily lost á his balance when he sat down.,[2],0.0387
when my partner was attacked and lost three teeth.,[3],-0.6486
when i see children on t.v from areas devastated by drought and á war.,[4],-0.836
when i nearly walked on a blindworm and then saw it crawl away.,[5],0.0
when i saw my 18 year old son grab an oxygen mask as he had á breathing difficulties. i had a bad conscience because i had not á stopped smoking. medication for the dilation of his breathing á tubes also caused a sense of guilt in me.,[6],-0.7298
"i experience a sense of guilt as my middle son cannot express á himself like other children, neither verbally nor in writing.",[7],0.1027
when my child was born.,[1],0.0
"it was winter/spring and the ice was melting. i was far out on a á jetty and i poked the ice with a long branch to try and break it. á the branch went through the ice and i fell in, the water closed á in over my head.",[2],0.0
"unjust accusations directed at me and my way of acting, by á someone close to me.",[3],-0.6808
failing an examination.,[4],-0.5106
"a drunkard fell, started bleeding and wet himself. disgust that á turned into sadness-unpleasantness.",[5],-0.5994
"when, as an adult i have been caught lying or behaving badly.",[6],-0.7579
"when i am in an environment or with a person much worse off than á me, i realize how privileged i am.",[7],-0.0516
when i saw a person i had not seen for a long time.,[1],0.0
"when, as a child, i was nearly knocked down by a car.",[2],0.0
"when i heard on the radio that the football match in belgium had á ended in a catastrophe, and several people had died. i could not á understand how normal people could behave in such a way.",[3],-0.8402
"when i feel lonely, perhaps because i have to study a lot and i á am shut up in my appartment. nothing happens in particular á because there is no time for anything else.",[4],-0.5719
when one learns through the mass media all the wars and killing á going on in the world.,[5],-0.8402
"i lied, to be precise i cancelled a meeting with a good friend.",[6],0.3612
when one lets friends down,[7],0.4767
when i was accepted for a course on finance and accounting.,[1],0.2732
"a bus drove over my right leg. the event itself was not very á frightening but when i had to wait in the emergency ward for á three hours and then my leg began to swell, i was frightened.",[2],-0.7456
"at my summer job, nobody looked after me in particular and i had á to learn all on my own.",[3],0.0
when i was not accepted as a student in finance and accounting.,[4],-0.2057
when i had just moved into my new appartment i found a ventilator á in the kitchen. i was going to clean it when i found that the á drum was full of mud and slime. i felt disgusted.,[5],-0.1779
my elder brother and i have not always had a good relationship á and i feel ashamed of myself as i do not call him to talk to him á nowadays.,[6],-0.0516
at my summer job a new caretaker had been employed who was my age á but i preferred going out for lunch with the accounts personnel á rather than with him.,[7],0.0
passed an exam by 2 points.,[1],0.0
"in a cottage in a large forest, i was alone for a while in the á dark.",[2],-0.25
when i spoke to jan-erik wikstr÷m on the telephone.,[3],0.0
railway station good-bye.,[4],0.0
i saw a cripple in rags with small children in italy. he was á probably an imposter.,[5],0.0
